Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	trt1	127N	128C	129N	130C	131N	RefInt_TMT6_FP18_chimerys
OGT	44	O15294	1.0	25.02928087109616	0.010908305939885565	0.04653043828670178	-0.044753546507298125	0.0548044660687097	-0.0076498825752224775	-0.05523639779484313	25.02928087109616
OIP5	1	O43482	1.0	20.822376439499852	-0.26339873766905697	0.11188271513842096	0.20846084625484096	0.04973320828283434	-0.1342317676618805	-0.022454337705649863	20.822376439499852
OLA1	43	Q9NTK5	1.0	27.342307511673244	0.09933907813601195	0.03711814575436456	-0.016589001099770684	0.02479126983732094	-0.11281643275545328	-0.06959346262269683	27.342307511673244
OLIG2	2	Q13516	0.9963	20.971114014584764	0.030969007721123987	0.06701151181713083	-0.0602102251833605	0.06965818645450472	-0.027085349180633322	-0.09615990696043575	20.971114014584764
OPA1	62	O60313	1.0	25.85577940217506	0.06494377690955666	0.04942122218165501	-0.027734927695021838	0.025032443110060143	-0.05506963268149434	-0.080176109248292	25.85577940217506
OPA3	3	Q9H6K4	0.9956	20.553229981810816	0.14276489323031072	0.08015878050274239	-0.07512070398497883	0.019614929176405838	-0.07748042889608797	0.023250534808884282	20.553229981810816
OR5AC2	1	Q9NZP5	0.9957	22.129129541291743	-0.15409625645380487	0.060747013331017286	-0.06065552101843963	0.16352494317033006	-0.004070171861993543	-0.025811826609203337	22.129129541291743
ORC1	5	Q13415	1.0	22.61180106276369	0.05625450427298517	0.10392172210618966	-0.025541784288758862	-0.02470195284895027	-0.08639561433188447	-0.11155519987270424	22.61180106276369
ORC2	3	Q13416	1.0	22.343619369895542	-0.035925802284868524	0.0548592797474825	-0.024666540531967485	0.04168933483275339	-0.06830515333870579	-0.03680767758081771	22.343619369895542
ORC3	2	Q9UBD5	1.0	21.653347135734503	-0.020716793611610385	-0.05580450960129646	-0.04167010162982976	0.08686628731426183	-0.006440404649863396	0.017441172513626313	21.653347135734503
ORC4	5	O43929	1.0	23.520120646040176	0.02682517368355164	0.10800913916505905	0.02446644871124093	0.014407907139762699	-0.18934080388014962	-0.04558713099761036	23.520120646040176
ORC5	3	O43913	1.0	23.09325488209459	0.05342293982369384	0.06754954139598368	-0.03641719327338322	0.011576830885886125	-0.054503785033190866	-0.057485241976056756	23.09325488209459
ORC6	4	Q9Y5N6	1.0	23.0508079599441	-0.073515572905551	0.12955285829424934	-0.004013497118839027	0.017667557873460638	-0.086522850973207	-0.036889419853529226	23.0508079599441
OS9	17	Q13438	1.0	25.839744431993836	0.01927179849367988	0.049416986309939404	-0.024147489662741606	0.02696903957791008	-0.022998153752723738	-0.07538498535276617	25.839744431993836
OSBP	18	P22059	1.0	24.507866831147556	0.04626521766336289	0.0656142760802183	-0.0499212516619405	0.03802321314546653	-0.04450076711200879	-0.08125087030728118	24.507866831147556
OSBPL1A	10	Q9BXW6	1.0	23.246262443650455	-0.08623257399444739	0.06628587557804444	0.01010836372499746	0.023028690389836015	-0.012567244960763446	-0.04178535028266417	23.246262443650455
OSBPL3	8	Q9H4L5	1.0	22.666641637119177	0.037311320881941334	-0.049358161757449004	-1.9311938771338077E-4	-0.026096477070218782	0.029059567839708755	-0.0018764548360099553	22.666641637119177
OSBPL5	6	Q9H0X9	1.0	23.30444087118193	-0.004030064415094792	0.02383741888717239	0.007164132141801893	0.031207140847385517	-0.03473158735917181	-0.014915805512957014	23.30444087118193
OSBPL8	14	Q9BZF1	1.0	23.351891580715535	0.13082813316685105	0.04191230399816703	-0.020189391873618234	0.0051691275250895785	-0.0640635698419949	-0.0703765918048056	23.351891580715535
OSBPL9	8	Q96SU4	1.0	23.58017189835024	0.04334146953477713	0.038923964311820214	-0.038369762135125995	0.05478415685839266	-0.04228527948821359	-0.053773213049641555	23.58017189835024
OSGEP	13	Q9NPF4	1.0	23.951333735294657	0.035040972842715234	0.01096902877466377	-0.05977151633289779	0.06496186759983757	-0.043971557581905074	-0.0022636002962279633	23.951333735294657
OSGEPL1	1	Q9H4B0	1.0	21.047021466822724	-0.005736043240288424	-0.06517646216276063	-0.0429906089829597	0.11767514538533952	0.012078415905209638	-0.02311358160512178	21.047021466822724
OSTC	3	Q9NRP0	1.0	22.765377710430286	0.11577616101967436	0.048670059035156754	0.016078668865763035	-0.0044890137856867796	-0.134385453320629	-0.12916496146533873	22.765377710430286
OSTF1	11	Q92882	1.0	24.501395609841005	0.07486909670521413	0.05907236917224168	0.007934652162632005	0.04491762934680921	-0.01962273877384746	-0.13439883800169206	24.501395609841005
OSTM1	1	Q86WC4	1.0	19.438502390830035	-0.30418860428542693	-0.1565628012012752	-0.033956142598508876	0.027727182705991282	0.31775527822744287	0.07095193492240881	19.438502390830035
OTUB1	27	Q96FW1	1.0	25.9852895328913	0.061457595905814344	0.06833943037792345	-0.029453700358168078	0.021128374235761527	-0.036360916352652595	-0.07488999684763797	25.9852895328913
OTUD3	1	Q5T2D3	0.996	17.957482053492996	-0.3412571843194545	0.12570973389958517	0.14315698872291982	-0.06071635012886745	0.09225530066953347	-0.013829093371867884	17.957482053492996
OTUD4	7	Q01804	1.0	24.491152661016486	-0.11321368246596819	0.07037654782956437	-0.01355834437974579	0.061458154053564584	-0.007537562746357196	0.01119518452878232	24.491152661016486
OTUD5	5	Q96G74	1.0	22.49420014375641	0.032054773137122794	0.03373138100867479	-0.022136681582978213	0.05797123863419529	-0.007336405744219121	-0.04997313420439298	22.49420014375641
