Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	126	127N	127C	128N	128C	129N	129C	130N	130C	131N	RefInt_TMT10_FP18_chimerys
COMMD6	2	Q7Z4G1	1.0	21.90574348862058	21.730354014683122	18.239627363107758	19.347266206608705	23.005262394186452	18.764582565662835	22.608380898460762	22.69863173175197	22.553409018829107	19.116331335896827	22.406693007872263	21.90574348862058
COMMD7	5	Q86VX2	1.0	23.4162987766737	23.524877233432555	19.567603531202252	20.746770124250318	24.393072793483274	19.998103096805877	24.145423024472336	23.985974269884537	23.974312598901623	20.724286078981937	24.01446078880173	23.4162987766737
COMMD8	4	Q9NX08	1.0	24.946880017097612	24.949810547426576	21.41930940816478	21.98551576421179	25.862350630953877	21.841541779066475	25.468464273037643	25.56227319029011	25.460672081563626	22.31554072868323	25.574363441958344	24.946880017097612
COMMD9	4	Q9P000	1.0	22.475130973113057	22.664711895724682	18.89601189867246	19.494250359899617	23.514095647069393	19.349467765357197	23.10047204045212	23.084103151173025	23.087109986201803	19.57264339754205	23.11574858956309	22.475130973113057
COMT	33	P21964	1.0	27.41370199107804	27.753265003418903	22.86848096594466	24.99749322660859	27.51735371105313	23.661830715990018	27.391928957577875	27.67563625698563	27.965451476559373	24.139686330925976	29.048942384693163	27.41370199107804
COMTD1	7	Q86VU5	1.0	22.979625927702685	22.68365494453911	19.017783499615046	19.389306948105983	24.442228505226772	20.23706349145519	23.108952641085406	23.013364277277898	23.027155388037365	19.108171489342983	23.513327099268576	22.979625927702685
COPA	112	P53621	1.0	27.211944342031074	27.15526766469665	22.99643101599785	24.29427197608986	28.2480043451434	24.001145450392325	27.88720886324601	27.9841009715408	27.714982480203304	24.588668131722457	27.636139606233712	27.211944342031074
COPB1	91	P53618	1.0	26.21547738775033	26.203029535558766	21.910576311957485	23.377564656907705	27.25693824996687	22.860229211340123	26.87299839623547	26.92745375802448	26.681524077620676	23.5573541627362	26.719474878129027	26.21547738775033
COPB2	73	P35606	1.0	26.54706850486132	26.370765686490078	22.39169462035121	23.59111049859503	27.54589577773688	23.384754407674848	27.25116367985017	27.3620922806659	26.997823924666044	23.976226102683373	26.98196258637314	26.54706850486132
COPE	25	O14579	1.0	25.166454156991424	25.281193422713418	21.060564917648257	22.179090337907777	26.049148449887777	22.18635532035401	25.804071772673698	25.907634683419037	25.63670398734661	22.486896155802523	25.830787059780835	25.166454156991424
COPG1	52	Q9Y678	1.0	26.66562579563401	26.604923787646506	22.787973958269298	23.787303432136408	27.69647902838403	23.559784475145722	27.270737655726	27.400496344586784	27.074833267937777	24.060005048609824	27.236571536493088	26.66562579563401
COPG2	11	Q9UBF2	1.0	23.46239529309519	23.32556204778454	19.851346005133312	20.45846727745262	25.052275592149865	20.62858581583194	23.956320277070983	23.723450767636958	23.81812212533184	20.409871892093236	24.054845549483854	23.46239529309519
COPS2	17	P61201	1.0	24.407924190810714	24.519453805558456	20.189006256105525	21.797073889295717	25.1978439916326	20.904613845681126	25.043986387900336	25.15453440581206	24.78858001902048	21.951310074974675	25.00714044889285	24.407924190810714
COPS3	15	Q9UNS2	1.0	24.58818333773243	24.68311081626772	20.202429025930616	21.8655320085783	25.54475300263992	21.10418286540247	25.06939217673706	25.22790882361008	25.108849589553827	21.726771054511445	25.291889408151242	24.58818333773243
COPS4	28	Q9BT78	1.0	24.67879181682223	24.73158186468719	20.640560807014808	21.992194683723476	25.40600395995451	21.540661617052542	25.326721872159684	25.50962828356195	25.13839417139735	22.106845158966514	25.499368105436655	24.67879181682223
COPS5	12	Q92905	1.0	24.83533065298461	25.052390465742224	20.26956575689844	22.054147728141846	25.709612646057707	21.36165392833291	25.433323903109244	25.667486863222173	25.234296267443334	22.09540632811109	25.438156840157493	24.83533065298461
COPS6	12	Q7L5N1	1.0	24.490792211447193	24.406822193548766	20.602721536062713	21.703548957649037	25.471207020681327	21.11407916409365	25.185466295487192	25.349931726768027	24.855876358521424	21.871220995263844	25.039404706618225	24.490792211447193
